feature,coefficient,abs_coefficient
year,-308.00577846921004,308.00577846921004
is_weekend,-1.357387075002472,1.357387075002472
quarter,-0.9006691483012257,0.9006691483012257
days_since_start,0.8412625450861891,0.8412625450861891
day_of_year,-0.8142050598819548,0.8142050598819548
month,-0.5743008347225054,0.5743008347225054
quantity_rolling_mean_3,0.3234695572333804,0.3234695572333804
days_since_last_order,-0.23851064703416971,0.23851064703416971
quantity_lag1,-0.14136854473479524,0.14136854473479524
quantity_lag2,-0.012323864955790948,0.012323864955790948
retailer_encoded,0.005782896952826939,0.005782896952826939
